Series_Title,Director
The Shawshank Redemption,Frank Darabont
The Godfather,Francis Ford Coppola
The Dark Knight,Christopher Nolan
The Godfather: Part II,Francis Ford Coppola
12 Angry Men,Sidney Lumet
The Lord of the Rings: The Return of the King,Peter Jackson
Pulp Fiction,Quentin Tarantino
Schindler's List,Steven Spielberg
Inception,Christopher Nolan
Fight Club,David Fincher
The Lord of the Rings: The Fellowship of the Ring,Peter Jackson
Forrest Gump,Robert Zemeckis
"Il buono, il brutto, il cattivo",Sergio Leone
The Lord of the Rings: The Two Towers,Peter Jackson
The Matrix,Lilly Wachowski
The Matrix,Lana Wachowski
Goodfellas,Martin Scorsese
Star Wars: Episode V - The Empire Strikes Back,Irvin Kershner
One Flew Over the Cuckoo's Nest,Milos Forman
Hamilton,Thomas Kail
Gisaengchung,Bong Joon Ho
Soorarai Pottru,Sudha Kongara
Interstellar,Christopher Nolan
Sen to Chihiro no kamikakushi,Hayao Miyazaki
Saving Private Ryan,Steven Spielberg
The Green Mile,Frank Darabont
Se7en,David Fincher
The Silence of the Lambs,Jonathan Demme
Star Wars,George Lucas
Seppuku,Masaki Kobayashi
It's a Wonderful Life,Frank Capra
Joker,Todd Phillips
Whiplash,Damien Chazelle
The Prestige,Christopher Nolan
The Departed,Martin Scorsese
The Pianist,Roman Polanski
